Date,Weight,Calories
2016/02/03,83.3,1494
2016/02/04,83.3,1370
2016/02/05,83.3,1706
2016/02/06,83.3,2148
2016/02/07,83.3,1239
2016/02/08,83.3,1550
2016/02/09,83.3,1314
2016/02/10,82.5,1424
2016/02/11,81.4,1678
2016/02/12,81.4,1355
2016/02/13,81.4,2059
2016/02/14,81.4,1132
2016/02/15,81.4,1857
2016/02/16,81.4,1571
2016/02/17,80,1516
2016/02/18,79.5,1620
2016/02/19,79.6,1306
2016/02/20,79.2,1597
2016/02/21,79.7,1454
2016/02/22,79.6,1577
2016/02/23,79.3,1479
2016/02/24,79.5,1464
2016/02/25,79,1715
2016/02/26,79.1,1275
2016/02/27,78.8,1432
2016/02/28,78.6,1850
2016/02/29,78.9,1524
2016/03/01,79.2,1319
2016/03/02,78.5,2047
2016/03/03,78.5,1174
2016/03/04,78.5,1260
2016/03/05,78.2,1666
2016/03/06,78.2,1373
2016/03/07,77.6,1564
2016/03/08,77.8,1459
2016/03/09,78,1558
2016/03/10,78,1248
2016/03/11,77.7,1420
2016/03/12,77.5,1766
2016/03/13,77.7,1341
2016/03/14,77.5,1572
2016/03/15,77.2,1234
2016/03/16,77.1,1385
2016/03/17,77,1421
2016/03/18,77.1,2015
2016/03/19,76.9,1709
2016/03/20,77.1,1336
2016/03/21,77,1536
2016/03/22,76.5,1371
2016/03/23,76.1,1504
2016/03/24,76.3,1420
2016/03/25,76.2,1562
2016/03/26,76.6,1267
2016/03/27,76.5,1391
2016/03/28,76.4,1402
2016/03/29,76.5,1709
2016/03/30,76,1212
2016/03/31,76.4,1375
2016/04/01,76,2008
2016/04/02,75.9,1838
2016/04/03,75.6,1646
2016/04/04,75.5,1377
2016/04/05,75.4,1425
2016/04/06,75.1,1519
2016/04/07,75.2,1798
2016/04/08,75.5,1490
2016/04/09,74.9,1982
2016/04/10,74.9,1294
2016/04/11,75.3,1447
2016/04/12,75.5,1729
2016/04/13,75.2,1429
2016/04/14,74.8,1533
2016/04/15,74.7,1775
2016/04/16,75,2248
2016/04/17,75.4,1413
2016/04/18,74.5,1419
2016/04/19,74.5,1379
2016/04/20,74.5,1782
2016/04/21,74.4,1733
2016/04/22,74.4,1755
2016/04/23,74.5,1811
2016/04/24,74.7,1481
2016/04/25,74.9,1441
2016/04/26,74.6,1498
2016/04/27,74.3,1347
2016/04/28,74.2,1359
2016/04/29,73.7,1510
2016/04/30,73.7,2295
2016/05/01,74.2,1493
2016/05/02,74.4,1187
2016/05/03,73.8,1258
2016/05/04,74,1384
2016/05/05,73.8,1292
2016/05/06,73.2,1624
2016/05/07,73.5,1626
2016/05/08,73.6,1910
2016/05/09,73.8,1126
2016/05/10,73.5,1441
2016/05/11,72.9,1548
2016/05/12,73.2,1489
2016/05/13,73.5,1785
2016/05/14,73.2,1483
2016/05/15,73.6,1357
2016/05/16,73.6,1993
2016/05/17,73.4,1166
2016/05/18,73.4,1392
2016/05/19,73.4,1952
2016/05/20,73.4,1472
2016/05/21,73.2,1756
2016/05/22,73.3,1429
2016/05/23,73.4,1803
2016/05/24,73.4,2040
2016/05/25,73.4,1679
2016/05/26,73.3,1496
2016/05/27,73.5,1968
2016/05/28,74,1600
2016/05/29,73.6,1476
2016/05/30,73.4,1281
2016/05/31,73.5,1609
2016/06/01,73.8,1784
2016/06/02,73.3,1578
2016/06/03,73.1,1848
2016/06/04,73.1,2519
2016/06/05,73.5,1623
2016/06/06,72.6,1508
2016/06/07,72.5,1660
2016/06/08,72.7,1790
2016/06/09,73.1,1557
2016/06/10,73.3,1704
2016/06/11,72.9,1699
